Product_ID,Material_Type,Product_Weight_g,Fragility,Recyclable,Transport_Mode,LCA_Emission_kgCO2,Packaging_Option
P0040,Plastic,1948,Medium,Yes,Land,4.091,Recycled Cardboard
P0041,Plastic,1705,Medium,Yes,Air,3.58,Recycled Cardboard
P0042,Glass,1811,Low,Yes,Air,2.716,Bio Bubble Wrap
P0043,Metal,1201,High,Yes,Air,2.162,Cornstarch Wrap
P0044,Metal,296,Low,Yes,Land,0.533,Recycled Cardboard
P0045,Bioplastic,1349,Low,Yes,Air,0.944,Paper Wrap
P0046,Ceramic,554,Low,Yes,Air,0.665,Bio Bubble Wrap
P0047,Plastic,691,Medium,Yes,Air,1.451,Recycled Cardboard
P0048,Ceramic,1106,High,Yes,Sea,1.327,Bio Bubble Wrap
P0049,Glass,871,Medium,Yes,Air,1.306,Bio Bubble Wrap
P0050,Glass,586,Low,Yes,Land,0.879,Bio Bubble Wrap
P0051,Paper,1566,High,Yes,Air,1.409,Paper Wrap
P0052,Bioplastic,1477,Medium,Yes,Sea,1.034,Paper Wrap
P0053,Paper,295,Medium,Yes,Air,0.266,Paper Wrap
P0054,Bioplastic,855,Medium,Yes,Land,0.599,Paper Wrap
P0055,Ceramic,1198,Low,Yes,Land,1.438,Bio Bubble Wrap
P0056,Bioplastic,1356,Medium,Yes,Land,0.949,Paper Wrap
P0057,Paper,1761,Low,Yes,Air,1.585,Paper Wrap
P0058,Plastic,639,High,Yes,Sea,1.342,Recycled Cardboard
P0059,Glass,1053,Low,Yes,Land,1.579,Bio Bubble Wrap
P0060,Metal,257,High,Yes,Land,0.463,Paper Wrap
P0061,Ceramic,1191,Low,Yes,Sea,1.429,Bio Bubble Wrap
P0062,Plastic,1490,Medium,Yes,Sea,3.129,Recycled Cardboard
P0063,Ceramic,609,Medium,Yes,Land,0.731,Bio Bubble Wrap
P0064,Metal,1245,High,No,Land,2.241,Recycled Cardboard
P0065,Bioplastic,1481,Medium,No,Air,1.037,Paper Wrap
P0066,Plastic,1450,Low,Yes,Air,3.045,Recycled Cardboard
P0067,Ceramic,787,Low,Yes,Sea,0.944,Bio Bubble Wrap
P0068,Ceramic,1405,Low,Yes,Land,1.686,Bio Bubble Wrap
P0069,Plastic,737,Medium,Yes,Land,1.548,Recycled Cardboard
P0070,Ceramic,709,Low,Yes,Air,0.851,Bio Bubble Wrap
P0071,Metal,526,Medium,Yes,Sea,0.947,Mushroom Foam
P0072,Glass,1614,High,No,Air,2.421,Bio Bubble Wrap
P0073,Glass,479,Medium,Yes,Sea,0.719,Bio Bubble Wrap
P0074,Plastic,735,Medium,Yes,Land,1.544,Recycled Cardboard
P0075,Bioplastic,1310,Low,Yes,Air,0.917,Paper Wrap
P0076,Paper,950,Low,Yes,Land,0.855,Paper Wrap
P0077,Ceramic,1157,High,No,Sea,1.388,Bio Bubble Wrap
P0078,Bioplastic,1781,Low,Yes,Sea,1.247,Paper Wrap
P0079,Glass,723,Low,Yes,Air,1.085,Bio Bubble Wrap
P0080,Plastic,450,Medium,Yes,Air,0.945,Recycled Cardboard
P0081,Ceramic,268,Low,Yes,Sea,0.322,Bio Bubble Wrap
P0082,Metal,379,Low,Yes,Land,0.682,Minimalist Pouch
P0083,Glass,1547,High,No,Land,2.321,Bio Bubble Wrap
P0084,Ceramic,1509,Low,Yes,Sea,1.811,Bio Bubble Wrap
P0085,Glass,1285,Low,Yes,Sea,1.927,Bio Bubble Wrap
P0086,Paper,955,Low,Yes,Air,0.86,Paper Wrap
P0087,Glass,1622,Medium,Yes,Sea,2.433,Bio Bubble Wrap
P0088,Paper,394,Low,Yes,Sea,0.355,Paper Wrap
P0089,Paper,380,Medium,No,Air,0.342,Paper Wrap
P0090,Glass,1135,Medium,Yes,Land,1.702,Bio Bubble Wrap
P0091,Plastic,1407,Medium,Yes,Air,2.955,Recycled Cardboard
P0092,Plastic,803,Low,Yes,Land,1.686,Recycled Cardboard
P0093,Ceramic,471,Low,No,Sea,0.565,Bio Bubble Wrap
P0094,Ceramic,876,High,No,Air,1.051,Bio Bubble Wrap
P0095,Metal,198,Low,Yes,Air,0.356,Mushroom Foam
P0096,Metal,1903,Low,No,Land,3.425,Paper Wrap
P0097,Metal,1471,High,No,Sea,2.648,Recycled Cardboard
P0098,Ceramic,1414,Low,Yes,Air,1.697,Bio Bubble Wrap
P0099,Metal,1346,Low,No,Air,2.423,Mushroom Foam
P0100,Metal,1183,Low,Yes,Sea,2.129,Paper Wrap
P0101,Metal,1185,Medium,Yes,Land,2.133,Recycled Cardboard
P0102,Plastic,1166,Medium,Yes,Air,2.449,Recycled Cardboard
P0103,Plastic,1778,Low,No,Sea,3.734,Recycled Cardboard
P0104,Glass,1426,Medium,Yes,Air,2.139,Bio Bubble Wrap
P0105,Ceramic,456,Medium,Yes,Sea,0.547,Bio Bubble Wrap
P0106,Metal,1818,Medium,Yes,Air,3.272,Bio Bubble Wrap
P0107,Ceramic,214,Medium,No,Air,0.257,Bio Bubble Wrap
P0108,Bioplastic,336,Low,Yes,Sea,0.235,Paper Wrap
P0109,Paper,272,High,Yes,Air,0.245,Paper Wrap
P0110,Bioplastic,505,High,Yes,Sea,0.353,Paper Wrap
P0111,Metal,524,Low,Yes,Sea,0.943,Cornstarch Wrap
P0112,Ceramic,1763,High,Yes,Sea,2.116,Bio Bubble Wrap
P0113,Glass,536,Medium,Yes,Land,0.804,Bio Bubble Wrap
P0114,Glass,1661,Medium,Yes,Sea,2.491,Bio Bubble Wrap
P0115,Plastic,1726,Medium,Yes,Air,3.625,Recycled Cardboard
P0116,Glass,1618,Low,Yes,Sea,2.427,Bio Bubble Wrap
P0117,Bioplastic,1671,Low,Yes,Sea,1.17,Paper Wrap
P0118,Bioplastic,866,Low,Yes,Air,0.606,Paper Wrap
P0119,Glass,1513,Low,Yes,Sea,2.269,Bio Bubble Wrap
P0120,Plastic,675,Low,Yes,Land,1.417,Recycled Cardboard
P0121,Ceramic,226,High,Yes,Land,0.271,Bio Bubble Wrap
P0122,Plastic,116,Medium,Yes,Air,0.244,Recycled Cardboard
P0123,Bioplastic,867,Medium,Yes,Land,0.607,Paper Wrap
P0124,Paper,1829,High,No,Land,1.646,Paper Wrap
P0125,Ceramic,1841,Medium,Yes,Land,2.209,Bio Bubble Wrap
P0126,Glass,559,Medium,Yes,Air,0.839,Bio Bubble Wrap
P0127,Bioplastic,191,Low,Yes,Sea,0.134,Paper Wrap
P0128,Ceramic,1542,High,Yes,Air,1.85,Bio Bubble Wrap
P0129,Paper,1447,Medium,Yes,Sea,1.302,Paper Wrap
P0130,Bioplastic,1779,Low,Yes,Air,1.245,Paper Wrap
P0131,Paper,1866,Low,Yes,Land,1.679,Paper Wrap
P0132,Bioplastic,1072,Medium,Yes,Land,0.75,Paper Wrap
P0133,Plastic,277,Low,Yes,Sea,0.582,Recycled Cardboard
P0134,Glass,1352,Low,Yes,Air,2.028,Bio Bubble Wrap
P0135,Plastic,1369,Low,No,Land,2.875,Recycled Cardboard
P0136,Ceramic,1372,High,Yes,Land,1.646,Bio Bubble Wrap
P0137,Plastic,1898,High,Yes,Land,3.986,Recycled Cardboard
P0138,Bioplastic,549,Low,Yes,Land,0.384,Paper Wrap
P0139,Paper,1294,Low,Yes,Sea,1.165,Paper Wrap
P0140,Ceramic,894,Low,No,Land,1.073,Bio Bubble Wrap
P0141,Paper,303,Low,Yes,Sea,0.273,Paper Wrap
P0142,Bioplastic,314,Medium,Yes,Air,0.22,Paper Wrap
P0143,Paper,507,Low,Yes,Air,0.456,Paper Wrap
P0144,Ceramic,1932,High,Yes,Sea,2.318,Bio Bubble Wrap
P0145,Ceramic,819,Low,Yes,Sea,0.983,Bio Bubble Wrap
P0146,Ceramic,848,Low,Yes,Land,1.018,Bio Bubble Wrap
P0147,Bioplastic,310,Medium,Yes,Air,0.217,Paper Wrap
P0148,Plastic,502,Low,Yes,Sea,1.054,Recycled Cardboard
P0149,Bioplastic,1059,High,Yes,Air,0.741,Paper Wrap
P0150,Ceramic,1876,Medium,Yes,Air,2.251,Bio Bubble Wrap
P0151,Plastic,794,Low,Yes,Sea,1.667,Recycled Cardboard
P0152,Metal,139,Low,No,Sea,0.25,Bio Bubble Wrap
P0153,Glass,1942,Medium,Yes,Air,2.913,Bio Bubble Wrap
P0154,Glass,726,Low,Yes,Land,1.089,Bio Bubble Wrap
P0155,Glass,1678,Low,Yes,Air,2.517,Bio Bubble Wrap
P0156,Glass,648,High,Yes,Air,0.972,Bio Bubble Wrap
P0157,Plastic,1244,Medium,Yes,Air,2.612,Recycled Cardboard
P0158,Bioplastic,580,High,No,Air,0.406,Paper Wrap
P0159,Glass,188,High,Yes,Land,0.282,Bio Bubble Wrap
P0160,Metal,1365,Low,Yes,Air,2.457,Bio Bubble Wrap
P0161,Glass,1583,Medium,No,Air,2.374,Bio Bubble Wrap
P0162,Bioplastic,870,High,Yes,Air,0.609,Paper Wrap
P0163,Plastic,399,Medium,No,Sea,0.838,Recycled Cardboard
P0164,Ceramic,1935,High,Yes,Land,2.322,Bio Bubble Wrap
P0165,Ceramic,1552,High,Yes,Land,1.862,Bio Bubble Wrap
P0166,Glass,119,Low,Yes,Land,0.178,Bio Bubble Wrap
P0167,Glass,471,Medium,Yes,Land,0.707,Bio Bubble Wrap
P0168,Plastic,1733,Low,Yes,Air,3.639,Recycled Cardboard
P0169,Ceramic,168,High,Yes,Land,0.202,Bio Bubble Wrap
P0170,Bioplastic,1619,Medium,Yes,Sea,1.133,Paper Wrap
P0171,Metal,542,High,Yes,Land,0.976,Minimalist Pouch
P0172,Paper,848,High,Yes,Land,0.763,Paper Wrap
P0173,Paper,671,Low,Yes,Sea,0.604,Paper Wrap
P0174,Paper,1339,High,Yes,Land,1.205,Paper Wrap
P0175,Plastic,428,Medium,Yes,Sea,0.899,Recycled Cardboard
P0176,Plastic,1779,Medium,Yes,Land,3.736,Recycled Cardboard
P0177,Bioplastic,745,High,Yes,Sea,0.521,Paper Wrap
P0178,Metal,244,Medium,Yes,Land,0.439,Minimalist Pouch
P0179,Ceramic,1389,Medium,Yes,Air,1.667,Bio Bubble Wrap
P0180,Bioplastic,1001,Low,Yes,Air,0.701,Paper Wrap
P0181,Ceramic,942,Low,Yes,Sea,1.13,Bio Bubble Wrap
P0182,Plastic,295,Medium,Yes,Air,0.62,Recycled Cardboard
P0183,Ceramic,1860,Low,Yes,Sea,2.232,Bio Bubble Wrap
P0184,Ceramic,889,Low,Yes,Sea,1.067,Bio Bubble Wrap
P0185,Bioplastic,838,Medium,Yes,Air,0.587,Paper Wrap
P0186,Metal,1930,High,Yes,Air,3.474,Paper Wrap
P0187,Bioplastic,1279,Low,Yes,Air,0.895,Paper Wrap
P0188,Bioplastic,1576,Low,No,Air,1.103,Paper Wrap
P0189,Metal,154,High,Yes,Land,0.277,Bio Bubble Wrap
P0190,Metal,1800,Medium,Yes,Sea,3.24,Cornstarch Wrap
P0191,Glass,446,High,Yes,Air,0.669,Bio Bubble Wrap
P0192,Paper,737,Medium,Yes,Sea,0.663,Paper Wrap
P0193,Metal,1573,Low,Yes,Air,2.831,Recycled Cardboard
P0194,Bioplastic,1070,Low,No,Land,0.749,Paper Wrap
P0195,Plastic,1303,Low,No,Land,2.736,Recycled Cardboard
P0196,Glass,1157,Medium,Yes,Air,1.736,Bio Bubble Wrap
P0197,Glass,952,Medium,Yes,Land,1.428,Bio Bubble Wrap
P0198,Bioplastic,480,Low,Yes,Land,0.336,Paper Wrap
P0199,Plastic,278,Medium,Yes,Sea,0.584,Recycled Cardboard
P0200,Paper,270,Low,Yes,Land,0.243,Paper Wrap
P0201,Paper,1814,High,No,Air,1.633,Paper Wrap
P0202,Bioplastic,1954,Low,Yes,Air,1.368,Paper Wrap
P0203,Metal,1185,Low,Yes,Air,2.133,Mushroom Foam
P0204,Bioplastic,852,Low,Yes,Land,0.596,Paper Wrap
P0205,Paper,1732,Medium,No,Land,1.559,Paper Wrap
P0206,Metal,1231,Medium,No,Land,2.216,Cornstarch Wrap
P0207,Ceramic,931,Low,Yes,Land,1.117,Bio Bubble Wrap
P0208,Glass,1071,Medium,Yes,Air,1.607,Bio Bubble Wrap
P0209,Ceramic,1825,Low,Yes,Air,2.19,Bio Bubble Wrap
P0210,Ceramic,909,Medium,Yes,Air,1.091,Bio Bubble Wrap
P0211,Plastic,583,Low,Yes,Land,1.224,Recycled Cardboard
P0212,Ceramic,601,Medium,Yes,Air,0.721,Bio Bubble Wrap
P0213,Ceramic,409,High,Yes,Air,0.491,Bio Bubble Wrap
P0214,Plastic,547,Low,No,Land,1.149,Recycled Cardboard
P0215,Glass,629,High,Yes,Air,0.944,Bio Bubble Wrap
P0216,Metal,1087,High,Yes,Sea,1.957,Cornstarch Wrap
P0217,Plastic,1112,High,Yes,Land,2.335,Recycled Cardboard
P0218,Bioplastic,908,Low,Yes,Air,0.636,Paper Wrap
P0219,Glass,1206,Medium,No,Sea,1.809,Bio Bubble Wrap
P0220,Plastic,1259,Low,Yes,Land,2.644,Recycled Cardboard
P0221,Metal,138,Medium,No,Air,0.248,Bio Bubble Wrap
P0222,Plastic,986,Low,Yes,Land,2.071,Recycled Cardboard
P0223,Glass,1227,Low,Yes,Land,1.841,Bio Bubble Wrap
P0224,Metal,519,High,No,Land,0.934,Recycled Cardboard
P0225,Ceramic,1814,Low,Yes,Land,2.177,Bio Bubble Wrap
P0226,Metal,1255,Medium,Yes,Air,2.259,Minimalist Pouch
P0227,Paper,658,Medium,Yes,Land,0.592,Paper Wrap
P0228,Plastic,158,Medium,Yes,Air,0.332,Recycled Cardboard
P0229,Paper,1021,Low,No,Air,0.919,Paper Wrap
P0230,Bioplastic,1306,Medium,Yes,Air,0.914,Paper Wrap
P0231,Bioplastic,1565,Medium,Yes,Air,1.095,Paper Wrap
P0232,Bioplastic,1234,Medium,Yes,Air,0.864,Paper Wrap
P0233,Plastic,1012,Medium,Yes,Sea,2.125,Recycled Cardboard
P0234,Metal,426,Medium,No,Sea,0.767,Mushroom Foam
P0235,Bioplastic,477,Low,Yes,Land,0.334,Paper Wrap
P0236,Paper,540,High,No,Air,0.486,Paper Wrap
P0237,Plastic,772,Medium,Yes,Land,1.621,Recycled Cardboard
P0238,Bioplastic,579,High,Yes,Sea,0.405,Paper Wrap
P0239,Metal,255,Low,Yes,Sea,0.459,Minimalist Pouch
P0240,Metal,696,High,Yes,Land,1.253,Bio Bubble Wrap
P0241,Plastic,338,Low,Yes,Air,0.71,Recycled Cardboard
P0242,Glass,162,Low,Yes,Air,0.243,Bio Bubble Wrap
P0243,Glass,1256,Medium,No,Land,1.884,Bio Bubble Wrap
P0244,Bioplastic,251,Low,Yes,Air,0.176,Paper Wrap
P0245,Paper,586,High,Yes,Sea,0.527,Paper Wrap
P0246,Paper,1655,High,Yes,Sea,1.49,Paper Wrap
P0247,Metal,1734,Medium,Yes,Air,3.121,Recycled Cardboard
P0248,Paper,903,Medium,Yes,Sea,0.813,Paper Wrap
P0249,Bioplastic,1177,High,Yes,Sea,0.824,Paper Wrap
P0250,Glass,404,Low,Yes,Land,0.606,Bio Bubble Wrap
P0251,Bioplastic,468,Low,Yes,Sea,0.328,Paper Wrap
P0252,Bioplastic,257,Low,Yes,Air,0.18,Paper Wrap
P0253,Paper,1589,Medium,No,Land,1.43,Paper Wrap
P0254,Paper,1951,High,Yes,Land,1.756,Paper Wrap
P0255,Ceramic,502,Medium,No,Sea,0.602,Bio Bubble Wrap
P0256,Bioplastic,1810,High,Yes,Land,1.267,Paper Wrap
P0257,Bioplastic,1832,Low,Yes,Air,1.282,Paper Wrap
P0258,Metal,333,Low,Yes,Land,0.599,Bio Bubble Wrap
P0259,Paper,1454,Low,No,Sea,1.309,Paper Wrap
P0260,Bioplastic,800,Low,No,Air,0.56,Paper Wrap
P0261,Metal,359,Low,Yes,Sea,0.646,Mushroom Foam
P0262,Plastic,1921,Low,Yes,Air,4.034,Recycled Cardboard
P0263,Glass,1441,Medium,No,Sea,2.162,Bio Bubble Wrap
P0264,Ceramic,1491,Low,Yes,Sea,1.789,Bio Bubble Wrap
P0265,Glass,1875,High,Yes,Land,2.812,Bio Bubble Wrap
P0266,Plastic,180,Low,Yes,Land,0.378,Recycled Cardboard
P0267,Plastic,1105,Low,Yes,Land,2.321,Recycled Cardboard
P0268,Paper,445,Low,Yes,Sea,0.401,Paper Wrap
P0269,Glass,1555,Low,Yes,Land,2.333,Bio Bubble Wrap
P0270,Glass,294,Medium,Yes,Sea,0.441,Bio Bubble Wrap
P0271,Bioplastic,1752,Medium,No,Land,1.226,Paper Wrap
P0272,Paper,1279,Medium,Yes,Air,1.151,Paper Wrap
P0273,Ceramic,290,High,Yes,Land,0.348,Bio Bubble Wrap
P0274,Glass,684,Low,Yes,Sea,1.026,Bio Bubble Wrap
P0275,Bioplastic,578,Low,Yes,Sea,0.405,Paper Wrap
P0276,Ceramic,977,High,No,Land,1.172,Bio Bubble Wrap
P0277,Plastic,170,Low,No,Land,0.357,Recycled Cardboard
P0278,Metal,624,Medium,Yes,Land,1.123,Recycled Cardboard
P0279,Plastic,280,Low,No,Air,0.588,Recycled Cardboard
P0280,Bioplastic,858,Medium,Yes,Air,0.601,Paper Wrap
P0281,Paper,1327,Low,No,Air,1.194,Paper Wrap
P0282,Metal,419,Medium,Yes,Sea,0.754,Cornstarch Wrap
P0283,Ceramic,1901,Medium,No,Land,2.281,Bio Bubble Wrap
P0284,Ceramic,1038,Medium,Yes,Sea,1.246,Bio Bubble Wrap
P0285,Glass,1413,Medium,Yes,Air,2.119,Bio Bubble Wrap
P0286,Paper,154,Medium,No,Land,0.139,Paper Wrap
P0287,Plastic,645,High,Yes,Sea,1.355,Recycled Cardboard
P0288,Paper,666,Medium,Yes,Sea,0.599,Paper Wrap
P0289,Ceramic,1148,Low,Yes,Sea,1.378,Bio Bubble Wrap
P0290,Glass,813,Medium,Yes,Air,1.22,Bio Bubble Wrap
P0291,Bioplastic,208,Low,Yes,Land,0.146,Paper Wrap
P0292,Glass,1403,Medium,Yes,Sea,2.104,Bio Bubble Wrap
P0293,Plastic,1730,High,Yes,Sea,3.633,Recycled Cardboard
P0294,Ceramic,1224,Medium,Yes,Land,1.469,Bio Bubble Wrap
P0295,Bioplastic,1625,Medium,Yes,Land,1.137,Paper Wrap
P0296,Bioplastic,1409,Low,Yes,Land,0.986,Paper Wrap
P0297,Plastic,1149,Medium,No,Air,2.413,Recycled Cardboard
P0298,Ceramic,1120,Low,No,Sea,1.344,Bio Bubble Wrap
P0299,Glass,239,High,Yes,Sea,0.358,Bio Bubble Wrap
P0300,Ceramic,1503,Low,Yes,Air,1.804,Bio Bubble Wrap
P0301,Metal,312,Medium,Yes,Air,0.562,Recycled Cardboard
P0302,Glass,217,Low,Yes,Air,0.326,Bio Bubble Wrap
P0303,Plastic,923,Medium,Yes,Sea,1.938,Recycled Cardboard
P0304,Plastic,1973,Low,No,Air,4.143,Recycled Cardboard
P0305,Metal,274,Low,Yes,Land,0.493,Mushroom Foam
P0306,Glass,292,High,Yes,Land,0.438,Bio Bubble Wrap
P0307,Ceramic,473,Medium,Yes,Air,0.568,Bio Bubble Wrap
P0308,Bioplastic,1278,High,Yes,Air,0.895,Paper Wrap
P0309,Ceramic,1801,High,No,Air,2.161,Bio Bubble Wrap
P0310,Ceramic,1138,Low,No,Land,1.366,Bio Bubble Wrap
P0311,Glass,1811,Medium,Yes,Air,2.716,Bio Bubble Wrap
P0312,Metal,1282,Medium,Yes,Sea,2.308,Minimalist Pouch
P0313,Metal,1256,Medium,Yes,Land,2.261,Mushroom Foam
P0314,Plastic,830,Low,No,Air,1.743,Recycled Cardboard
P0315,Ceramic,1087,Medium,Yes,Sea,1.304,Bio Bubble Wrap
P0316,Plastic,1056,Low,Yes,Land,2.218,Recycled Cardboard
P0317,Ceramic,997,Medium,Yes,Land,1.196,Bio Bubble Wrap
P0318,Glass,1983,High,Yes,Sea,2.974,Bio Bubble Wrap
P0319,Plastic,1538,Medium,Yes,Air,3.23,Recycled Cardboard
P0320,Bioplastic,1791,Medium,Yes,Sea,1.254,Paper Wrap
P0321,Bioplastic,516,Low,Yes,Sea,0.361,Paper Wrap
P0322,Ceramic,327,Medium,Yes,Air,0.392,Bio Bubble Wrap
P0323,Metal,386,Medium,Yes,Land,0.695,Cornstarch Wrap
P0324,Metal,1546,Low,Yes,Land,2.783,Paper Wrap
P0325,Plastic,1611,Low,Yes,Sea,3.383,Recycled Cardboard
P0326,Glass,723,High,Yes,Land,1.085,Bio Bubble Wrap
P0327,Ceramic,184,Medium,No,Air,0.221,Bio Bubble Wrap
P0328,Metal,1140,High,No,Land,2.052,Recycled Cardboard
P0329,Bioplastic,171,High,Yes,Sea,0.12,Paper Wrap
P0330,Ceramic,902,High,Yes,Air,1.082,Bio Bubble Wrap
P0331,Bioplastic,879,Low,Yes,Sea,0.615,Paper Wrap
P0332,Bioplastic,1229,Low,Yes,Land,0.86,Paper Wrap
P0333,Glass,554,Medium,Yes,Air,0.831,Bio Bubble Wrap
P0334,Glass,538,High,Yes,Sea,0.807,Bio Bubble Wrap
P0335,Glass,1112,Medium,Yes,Sea,1.668,Bio Bubble Wrap
P0336,Bioplastic,351,Low,Yes,Sea,0.246,Paper Wrap
P0337,Bioplastic,1685,Medium,Yes,Air,1.179,Paper Wrap
P0338,Paper,689,Medium,Yes,Air,0.62,Paper Wrap
P0339,Metal,413,Low,Yes,Air,0.743,Minimalist Pouch
P0340,Ceramic,819,Medium,Yes,Land,0.983,Bio Bubble Wrap
P0341,Glass,1993,Medium,Yes,Land,2.99,Bio Bubble Wrap
P0342,Glass,1660,Medium,Yes,Sea,2.49,Bio Bubble Wrap
P0343,Bioplastic,1377,Medium,Yes,Sea,0.964,Paper Wrap
P0344,Metal,1503,Low,Yes,Air,2.705,Minimalist Pouch
P0345,Metal,1442,Medium,Yes,Land,2.596,Recycled Cardboard
P0346,Paper,1378,Low,No,Air,1.24,Paper Wrap
P0347,Bioplastic,1814,Low,Yes,Sea,1.27,Paper Wrap
P0348,Metal,684,Low,Yes,Air,1.231,Bio Bubble Wrap
P0349,Bioplastic,1159,Medium,Yes,Sea,0.811,Paper Wrap
P0350,Ceramic,537,High,Yes,Sea,0.644,Bio Bubble Wrap
P0351,Paper,1307,Low,Yes,Air,1.176,Paper Wrap
P0352,Metal,1177,High,Yes,Sea,2.119,Paper Wrap
P0353,Glass,1369,Medium,Yes,Air,2.054,Bio Bubble Wrap
P0354,Ceramic,1455,Medium,Yes,Sea,1.746,Bio Bubble Wrap
P0355,Paper,1117,Low,Yes,Air,1.005,Paper Wrap
P0356,Bioplastic,1308,High,No,Land,0.916,Paper Wrap
P0357,Paper,1191,High,Yes,Air,1.072,Paper Wrap
P0358,Glass,502,Low,Yes,Land,0.753,Bio Bubble Wrap
P0359,Paper,1336,Medium,Yes,Land,1.202,Paper Wrap
P0360,Glass,591,High,No,Sea,0.886,Bio Bubble Wrap
P0361,Plastic,1437,Medium,Yes,Land,3.018,Recycled Cardboard
P0362,Plastic,603,Medium,No,Sea,1.266,Recycled Cardboard
P0363,Paper,1069,Low,Yes,Land,0.962,Paper Wrap
P0364,Glass,1365,High,Yes,Air,2.047,Bio Bubble Wrap
P0365,Paper,487,Low,Yes,Land,0.438,Paper Wrap
P0366,Bioplastic,700,Low,Yes,Land,0.49,Paper Wrap
P0367,Plastic,378,Medium,Yes,Sea,0.794,Recycled Cardboard
P0368,Ceramic,711,Medium,Yes,Sea,0.853,Bio Bubble Wrap
P0369,Metal,952,Medium,No,Air,1.714,Recycled Cardboard
P0370,Paper,646,Low,Yes,Sea,0.581,Paper Wrap
P0371,Ceramic,413,Low,No,Air,0.496,Bio Bubble Wrap
P0372,Plastic,1946,High,Yes,Land,4.087,Recycled Cardboard
P0373,Paper,1810,Low,Yes,Air,1.629,Paper Wrap
P0374,Bioplastic,1940,High,No,Land,1.358,Paper Wrap
P0375,Ceramic,932,Low,No,Land,1.118,Bio Bubble Wrap
P0376,Plastic,1790,Low,Yes,Sea,3.759,Recycled Cardboard
P0377,Glass,1081,Low,Yes,Sea,1.621,Bio Bubble Wrap
P0378,Ceramic,1253,Medium,No,Sea,1.504,Bio Bubble Wrap
P0379,Ceramic,1690,Medium,Yes,Sea,2.028,Bio Bubble Wrap
P0380,Ceramic,1389,High,Yes,Sea,1.667,Bio Bubble Wrap
P0381,Paper,866,Low,No,Sea,0.779,Paper Wrap
P0382,Ceramic,1629,High,No,Air,1.955,Bio Bubble Wrap
P0383,Bioplastic,580,Low,No,Air,0.406,Paper Wrap
P0384,Plastic,1658,Low,Yes,Air,3.482,Recycled Cardboard
P0385,Paper,878,Low,Yes,Sea,0.79,Paper Wrap
P0386,Glass,1651,Medium,Yes,Land,2.477,Bio Bubble Wrap
P0387,Plastic,651,Medium,Yes,Air,1.367,Recycled Cardboard
