Product_ID,Material_Type,Product_Weight_g,Fragility,Recyclable,Transport_Mode,LCA_Emission_kgCO2,Packaging_Option,Cost_per_unit,Biodegradability_Score,Strength_Score,Product_Category,CO2_Impact_Index,Cost_Efficiency_Index,Recyclable_Binary,Material_Suitability_Score
P0050,Glass,586,Low,Yes,Land,0.879,Bio Bubble Wrap,1.18,15,70,Home & Decor,79.05,41.0,1,51.72
P0051,Paper,1566,High,Yes,Air,1.409,Paper Wrap,0.33,95,40,Food & Beverage,66.42,83.5,1,72.55
P0052,Bioplastic,1477,Medium,Yes,Sea,1.034,Paper Wrap,0.38,80,40,Pharma & Health,75.36,81.0,1,70.86
P0053,Paper,295,Medium,Yes,Air,0.266,Paper Wrap,0.37,95,40,Food & Beverage,93.66,81.5,1,80.22
P0054,Bioplastic,855,Medium,Yes,Land,0.599,Paper Wrap,0.28,80,40,Pharma & Health,85.72,86.0,1,75.22
P0055,Ceramic,1198,Low,Yes,Land,1.438,Bio Bubble Wrap,1.15,20,70,Home & Decor,65.73,42.5,1,49.34
P0056,Bioplastic,1356,Medium,Yes,Land,0.949,Paper Wrap,0.13,80,40,Pharma & Health,77.38,93.5,1,74.59
P0057,Paper,1761,Low,Yes,Air,1.585,Paper Wrap,0.16,95,40,Food & Beverage,62.23,92.0,1,73.42
P0058,Plastic,639,High,Yes,Sea,1.342,Recycled Cardboard,0.32,10,65,E-Commerce,68.02,84.0,1,56.91
P0059,Glass,1053,Low,Yes,Land,1.579,Bio Bubble Wrap,0.73,15,70,Home & Decor,62.37,63.5,1,52.34
P0060,Metal,257,High,Yes,Land,0.463,Paper Wrap,0.22,5,40,Electronics,88.97,89.0,1,58.19
P0061,Ceramic,1191,Low,Yes,Sea,1.429,Bio Bubble Wrap,0.69,20,70,Home & Decor,65.94,65.5,1,55.16
P0062,Plastic,1490,Medium,Yes,Sea,3.129,Recycled Cardboard,0.71,10,65,Cosmetics,25.43,64.5,1,39.25
P0063,Ceramic,609,Medium,Yes,Land,0.731,Bio Bubble Wrap,0.75,20,70,Home & Decor,82.58,62.5,1,59.4
P0064,Metal,1245,High,No,Land,2.241,Recycled Cardboard,0.44,5,65,Electronics,46.59,78.0,0,47.73
P0065,Bioplastic,1481,Medium,No,Air,1.037,Paper Wrap,0.26,80,40,Pharma & Health,75.29,87.0,0,72.34
P0066,Plastic,1450,Low,Yes,Air,3.045,Recycled Cardboard,0.37,10,65,E-Commerce,27.43,81.5,1,44.1
P0067,Ceramic,787,Low,Yes,Sea,0.944,Bio Bubble Wrap,1.06,20,70,Home & Decor,77.5,47.0,1,54.0
P0068,Ceramic,1405,Low,Yes,Land,1.686,Bio Bubble Wrap,0.55,20,70,Home & Decor,59.82,72.5,1,55.07
P0069,Plastic,737,Medium,Yes,Land,1.548,Recycled Cardboard,0.79,10,65,Cosmetics,63.11,60.5,1,49.56
P0070,Ceramic,709,Low,Yes,Air,0.851,Bio Bubble Wrap,1.04,20,70,Home & Decor,79.72,48.0,1,54.92
P0071,Metal,526,Medium,Yes,Sea,0.947,Mushroom Foam,1.04,5,75,Industrial,77.43,48.0,1,51.48
P0072,Glass,1614,High,No,Air,2.421,Bio Bubble Wrap,0.5,15,70,Home & Decor,42.3,75.0,0,49.19
P0073,Glass,479,Medium,Yes,Sea,0.719,Bio Bubble Wrap,1.07,15,70,Home & Decor,82.86,46.5,1,54.23
P0074,Plastic,735,Medium,Yes,Land,1.544,Recycled Cardboard,0.65,10,65,Cosmetics,63.2,67.5,1,51.34
P0075,Bioplastic,1310,Low,Yes,Air,0.917,Paper Wrap,0.32,80,40,Pharma & Health,78.15,84.0,1,72.44
P0076,Paper,950,Low,Yes,Land,0.855,Paper Wrap,0.33,95,40,Food & Beverage,79.62,83.5,1,76.51
P0077,Ceramic,1157,High,No,Sea,1.388,Bio Bubble Wrap,0.55,20,70,Home & Decor,66.92,72.5,0,57.2
P0078,Bioplastic,1781,Low,Yes,Sea,1.247,Paper Wrap,0.21,80,40,Pharma & Health,70.28,89.5,1,71.46
P0079,Glass,723,Low,Yes,Air,1.085,Bio Bubble Wrap,0.58,15,70,Home & Decor,74.14,71.0,1,57.74
P0080,Plastic,450,Medium,Yes,Air,0.945,Recycled Cardboard,0.73,10,65,Cosmetics,77.48,63.5,1,54.62
P0081,Ceramic,268,Low,Yes,Sea,0.322,Bio Bubble Wrap,0.94,20,70,Home & Decor,92.33,53.0,1,59.95
P0082,Metal,379,Low,Yes,Land,0.682,Minimalist Pouch,0.33,5,50,Industrial,83.75,83.5,1,57.25
P0083,Glass,1547,High,No,Land,2.321,Bio Bubble Wrap,0.54,15,70,Home & Decor,44.69,73.0,0,49.41
P0084,Ceramic,1509,Low,Yes,Sea,1.811,Bio Bubble Wrap,0.72,20,70,Home & Decor,56.84,64.0,1,52.05
P0085,Glass,1285,Low,Yes,Sea,1.927,Bio Bubble Wrap,0.73,15,70,Home & Decor,54.08,63.5,1,49.85
P0086,Paper,955,Low,Yes,Air,0.86,Paper Wrap,0.32,95,40,Food & Beverage,79.5,84.0,1,76.6
P0087,Glass,1622,Medium,Yes,Sea,2.433,Bio Bubble Wrap,0.95,15,70,Home & Decor,42.02,52.5,1,43.48
P0088,Paper,394,Low,Yes,Sea,0.355,Paper Wrap,0.37,95,40,Food & Beverage,91.54,81.5,1,79.59
P0089,Paper,380,Medium,No,Air,0.342,Paper Wrap,0.24,95,40,Food & Beverage,91.85,88.0,0,81.3
P0090,Glass,1135,Medium,Yes,Land,1.702,Bio Bubble Wrap,0.58,15,70,Home & Decor,59.44,71.0,1,53.33
P0091,Plastic,1407,Medium,Yes,Air,2.955,Recycled Cardboard,0.66,10,65,Cosmetics,29.58,67.0,1,41.12
P0092,Plastic,803,Low,Yes,Land,1.686,Recycled Cardboard,0.68,10,65,E-Commerce,59.82,66.0,1,49.95
P0093,Ceramic,471,Low,No,Sea,0.565,Bio Bubble Wrap,0.89,20,70,Home & Decor,86.53,55.5,0,58.83
P0094,Ceramic,876,High,No,Air,1.051,Bio Bubble Wrap,1.04,20,70,Home & Decor,74.95,48.0,0,53.48
P0095,Metal,198,Low,Yes,Air,0.356,Mushroom Foam,1.39,5,75,Industrial,91.52,30.5,1,51.33
P0096,Metal,1903,Low,No,Land,3.425,Paper Wrap,0.26,5,40,Industrial,18.37,87.0,0,36.51
P0097,Metal,1471,High,No,Sea,2.648,Recycled Cardboard,0.51,5,65,Electronics,36.89,74.5,0,43.94
P0098,Ceramic,1414,Low,Yes,Air,1.697,Bio Bubble Wrap,0.52,20,70,Home & Decor,59.56,74.0,1,55.37
P0099,Metal,1346,Low,No,Air,2.423,Mushroom Foam,0.93,5,75,Industrial,42.25,53.5,0,42.3
P0100,Metal,1183,Low,Yes,Sea,2.129,Paper Wrap,0.11,5,40,Industrial,49.26,94.5,1,47.65
P0101,Metal,1185,Medium,Yes,Land,2.133,Recycled Cardboard,0.62,5,65,Industrial,49.17,69.0,1,46.25
P0102,Plastic,1166,Medium,Yes,Air,2.449,Recycled Cardboard,0.46,10,65,Cosmetics,41.63,77.0,1,47.24
P0103,Plastic,1778,Low,No,Sea,3.734,Recycled Cardboard,0.55,10,65,E-Commerce,11.01,72.5,0,36.93
P0104,Glass,1426,Medium,Yes,Air,2.139,Bio Bubble Wrap,1.14,15,70,Home & Decor,49.02,43.0,1,43.21
P0105,Ceramic,456,Medium,Yes,Sea,0.547,Bio Bubble Wrap,0.67,20,70,Home & Decor,86.96,66.5,1,61.71
P0106,Metal,1818,Medium,Yes,Air,3.272,Bio Bubble Wrap,0.79,5,70,Industrial,22.02,60.5,1,36.98
P0107,Ceramic,214,Medium,No,Air,0.257,Bio Bubble Wrap,1.03,20,70,Home & Decor,93.88,48.5,0,59.29
P0108,Bioplastic,336,Low,Yes,Sea,0.235,Paper Wrap,0.17,80,40,Pharma & Health,94.4,91.5,1,79.19
P0109,Paper,272,High,Yes,Air,0.245,Paper Wrap,0.12,95,40,Food & Beverage,94.16,94.0,1,83.5
P0110,Bioplastic,505,High,Yes,Sea,0.353,Paper Wrap,0.19,80,40,Pharma & Health,91.59,90.5,1,78.1
P0111,Metal,524,Low,Yes,Sea,0.943,Cornstarch Wrap,0.75,5,55,Industrial,77.53,62.5,1,51.13
P0112,Ceramic,1763,High,Yes,Sea,2.116,Bio Bubble Wrap,1.15,20,70,Home & Decor,49.57,42.5,1,44.5
P0113,Glass,536,Medium,Yes,Land,0.804,Bio Bubble Wrap,1.07,15,70,Home & Decor,80.84,46.5,1,53.63
P0114,Glass,1661,Medium,Yes,Sea,2.491,Bio Bubble Wrap,0.94,15,70,Home & Decor,40.63,53.0,1,43.19
P0115,Plastic,1726,Medium,Yes,Air,3.625,Recycled Cardboard,0.74,10,65,Cosmetics,13.61,63.0,1,35.33
P0116,Glass,1618,Low,Yes,Sea,2.427,Bio Bubble Wrap,1.06,15,70,Home & Decor,42.16,47.0,1,42.15
P0117,Bioplastic,1671,Low,Yes,Sea,1.17,Paper Wrap,0.16,80,40,Pharma & Health,72.12,92.0,1,72.64
P0118,Bioplastic,866,Low,Yes,Air,0.606,Paper Wrap,0.37,80,40,Pharma & Health,85.56,81.5,1,74.04
P0119,Glass,1513,Low,Yes,Sea,2.269,Bio Bubble Wrap,0.88,15,70,Home & Decor,45.92,56.0,1,45.53
P0120,Plastic,675,Low,Yes,Land,1.417,Recycled Cardboard,0.7,10,65,E-Commerce,66.23,65.0,1,51.62
P0121,Ceramic,226,High,Yes,Land,0.271,Bio Bubble Wrap,1.13,20,70,Home & Decor,93.54,43.5,1,57.94
P0122,Plastic,116,Medium,Yes,Air,0.244,Recycled Cardboard,0.46,10,65,Cosmetics,94.18,77.0,1,63.0
P0123,Bioplastic,867,Medium,Yes,Land,0.607,Paper Wrap,0.13,80,40,Pharma & Health,85.53,93.5,1,77.03
P0124,Paper,1829,High,No,Land,1.646,Paper Wrap,0.17,95,40,Food & Beverage,60.77,91.5,0,72.86
P0125,Ceramic,1841,Medium,Yes,Land,2.209,Bio Bubble Wrap,0.8,20,70,Home & Decor,47.35,60.0,1,48.2
P0126,Glass,559,Medium,Yes,Air,0.839,Bio Bubble Wrap,1.07,15,70,Home & Decor,80.0,46.5,1,53.38
P0127,Bioplastic,191,Low,Yes,Sea,0.134,Paper Wrap,0.36,80,40,Pharma & Health,96.81,82.0,1,77.54
P0128,Ceramic,1542,High,Yes,Air,1.85,Bio Bubble Wrap,0.5,20,70,Home & Decor,55.91,75.0,1,54.52
P0129,Paper,1447,Medium,Yes,Sea,1.302,Paper Wrap,0.25,95,40,Food & Beverage,68.97,87.5,1,74.32
P0130,Bioplastic,1779,Low,Yes,Air,1.245,Paper Wrap,0.23,80,40,Pharma & Health,70.33,88.5,1,71.22
P0131,Paper,1866,Low,Yes,Land,1.679,Paper Wrap,0.17,95,40,Food & Beverage,59.99,91.5,1,72.62
P0132,Bioplastic,1072,Medium,Yes,Land,0.75,Paper Wrap,0.14,80,40,Pharma & Health,82.13,93.0,1,75.89
P0133,Plastic,277,Low,Yes,Sea,0.582,Recycled Cardboard,0.47,10,65,E-Commerce,86.13,76.5,1,60.46
P0134,Glass,1352,Low,Yes,Air,2.028,Bio Bubble Wrap,1.16,15,70,Home & Decor,51.67,42.0,1,43.75
P0135,Plastic,1369,Low,No,Land,2.875,Recycled Cardboard,0.46,10,65,E-Commerce,31.48,77.0,0,44.19
P0136,Ceramic,1372,High,Yes,Land,1.646,Bio Bubble Wrap,0.86,20,70,Home & Decor,60.77,57.0,1,51.48
P0137,Plastic,1898,High,Yes,Land,3.986,Recycled Cardboard,0.65,10,65,E-Commerce,5.0,67.5,1,33.88
P0138,Bioplastic,549,Low,Yes,Land,0.384,Paper Wrap,0.21,80,40,Pharma & Health,90.85,89.5,1,77.63
P0139,Paper,1294,Low,Yes,Sea,1.165,Paper Wrap,0.39,95,40,Food & Beverage,72.24,80.5,1,73.55
P0140,Ceramic,894,Low,No,Land,1.073,Bio Bubble Wrap,1.17,20,70,Home & Decor,74.43,41.5,0,51.7
P0141,Paper,303,Low,Yes,Sea,0.273,Paper Wrap,0.18,95,40,Food & Beverage,93.49,91.0,1,82.55
P0142,Bioplastic,314,Medium,Yes,Air,0.22,Paper Wrap,0.25,80,40,Pharma & Health,94.76,87.5,1,78.3
P0143,Paper,507,Low,Yes,Air,0.456,Paper Wrap,0.19,95,40,Food & Beverage,89.13,90.5,1,81.11
P0144,Ceramic,1932,High,Yes,Sea,2.318,Bio Bubble Wrap,0.7,20,70,Home & Decor,44.76,65.0,1,48.68
P0145,Ceramic,819,Low,Yes,Sea,0.983,Bio Bubble Wrap,0.53,20,70,Home & Decor,76.57,73.5,1,60.35
P0146,Ceramic,848,Low,Yes,Land,1.018,Bio Bubble Wrap,0.93,20,70,Home & Decor,75.74,53.5,1,55.1
P0147,Bioplastic,310,Medium,Yes,Air,0.217,Paper Wrap,0.25,80,40,Pharma & Health,94.83,87.5,1,78.32
P0148,Plastic,502,Low,Yes,Sea,1.054,Recycled Cardboard,0.33,10,65,E-Commerce,74.88,83.5,1,58.84
P0149,Bioplastic,1059,High,Yes,Air,0.741,Paper Wrap,0.18,80,40,Pharma & Health,82.34,91.0,1,75.45
P0150,Ceramic,1876,Medium,Yes,Air,2.251,Bio Bubble Wrap,1.14,20,70,Home & Decor,46.35,43.0,1,43.66
P0151,Plastic,794,Low,Yes,Sea,1.667,Recycled Cardboard,0.42,10,65,E-Commerce,60.27,79.0,1,53.33
P0152,Metal,139,Low,No,Sea,0.25,Bio Bubble Wrap,0.6,5,70,Industrial,94.04,70.0,0,60.96
P0153,Glass,1942,Medium,Yes,Air,2.913,Bio Bubble Wrap,0.84,15,70,Home & Decor,30.58,58.0,1,41.42
P0154,Glass,726,Low,Yes,Land,1.089,Bio Bubble Wrap,1.19,15,70,Home & Decor,74.05,40.5,1,50.09
P0155,Glass,1678,Low,Yes,Air,2.517,Bio Bubble Wrap,0.67,15,70,Home & Decor,40.01,66.5,1,46.38
P0156,Glass,648,High,Yes,Air,0.972,Bio Bubble Wrap,0.97,15,70,Home & Decor,76.84,51.5,1,53.68
P0157,Plastic,1244,Medium,Yes,Air,2.612,Recycled Cardboard,0.68,10,65,Cosmetics,37.75,66.0,1,43.32
P0158,Bioplastic,580,High,No,Air,0.406,Paper Wrap,0.17,80,40,Pharma & Health,90.32,91.5,0,77.97
P0159,Glass,188,High,Yes,Land,0.282,Bio Bubble Wrap,1.01,15,70,Home & Decor,93.28,49.5,1,58.11
P0160,Metal,1365,Low,Yes,Air,2.457,Bio Bubble Wrap,0.76,5,70,Industrial,41.44,62.0,1,43.18
P0161,Glass,1583,Medium,No,Air,2.374,Bio Bubble Wrap,0.94,15,70,Home & Decor,43.42,53.0,0,44.03
P0162,Bioplastic,870,High,Yes,Air,0.609,Paper Wrap,0.29,80,40,Pharma & Health,85.49,85.5,1,75.02
P0163,Plastic,399,Medium,No,Sea,0.838,Recycled Cardboard,0.57,10,65,Cosmetics,80.03,71.5,0,57.38
P0164,Ceramic,1935,High,Yes,Land,2.322,Bio Bubble Wrap,0.56,20,70,Home & Decor,44.66,72.0,1,50.4
P0165,Ceramic,1552,High,Yes,Land,1.862,Bio Bubble Wrap,1.08,20,70,Home & Decor,55.62,46.0,1,47.19
P0166,Glass,119,Low,Yes,Land,0.178,Bio Bubble Wrap,0.72,15,70,Home & Decor,95.76,64.0,1,62.48
P0167,Glass,471,Medium,Yes,Land,0.707,Bio Bubble Wrap,0.63,15,70,Home & Decor,83.15,68.5,1,59.82
P0168,Plastic,1733,Low,Yes,Air,3.639,Recycled Cardboard,0.32,10,65,E-Commerce,13.27,84.0,1,40.48
P0169,Ceramic,168,High,Yes,Land,0.202,Bio Bubble Wrap,0.91,20,70,Home & Decor,95.19,54.5,1,61.18
P0170,Bioplastic,1619,Medium,Yes,Sea,1.133,Paper Wrap,0.3,80,40,Pharma & Health,73.0,85.0,1,71.15
P0171,Metal,542,High,Yes,Land,0.976,Minimalist Pouch,0.21,5,50,Electronics,76.74,89.5,1,56.65
P0172,Paper,848,High,Yes,Land,0.763,Paper Wrap,0.25,95,40,Food & Beverage,81.82,87.5,1,78.17
P0173,Paper,671,Low,Yes,Sea,0.604,Paper Wrap,0.17,95,40,Food & Beverage,85.61,91.5,1,80.31
P0174,Paper,1339,High,Yes,Land,1.205,Paper Wrap,0.29,95,40,Food & Beverage,71.28,85.5,1,74.51
P0175,Plastic,428,Medium,Yes,Sea,0.899,Recycled Cardboard,0.39,10,65,Cosmetics,78.57,80.5,1,59.2
P0176,Plastic,1779,Medium,Yes,Land,3.736,Recycled Cardboard,0.65,10,65,Cosmetics,10.96,67.5,1,35.66
P0177,Bioplastic,745,High,Yes,Sea,0.521,Paper Wrap,0.22,80,40,Pharma & Health,87.58,89.0,1,76.52
P0178,Metal,244,Medium,Yes,Land,0.439,Minimalist Pouch,0.57,5,50,Industrial,89.54,71.5,1,55.99
P0179,Ceramic,1389,Medium,Yes,Air,1.667,Bio Bubble Wrap,0.6,20,70,Home & Decor,60.27,70.0,1,54.58
P0180,Bioplastic,1001,Low,Yes,Air,0.701,Paper Wrap,0.2,80,40,Pharma & Health,83.29,90.0,1,75.49
P0181,Ceramic,942,Low,Yes,Sea,1.13,Bio Bubble Wrap,0.58,20,70,Home & Decor,73.07,71.0,1,58.67
P0182,Plastic,295,Medium,Yes,Air,0.62,Recycled Cardboard,0.76,10,65,Cosmetics,85.22,62.0,1,56.57
P0183,Ceramic,1860,Low,Yes,Sea,2.232,Bio Bubble Wrap,1.11,20,70,Home & Decor,46.81,44.5,1,44.17
P0184,Ceramic,889,Low,Yes,Sea,1.067,Bio Bubble Wrap,0.68,20,70,Home & Decor,74.57,66.0,1,57.87
P0185,Bioplastic,838,Medium,Yes,Air,0.587,Paper Wrap,0.3,80,40,Pharma & Health,86.01,85.0,1,75.05
P0186,Metal,1930,High,Yes,Air,3.474,Paper Wrap,0.35,5,40,Electronics,17.21,82.5,1,35.04
P0187,Bioplastic,1279,Low,Yes,Air,0.895,Paper Wrap,0.27,80,40,Pharma & Health,78.67,86.5,1,73.23
P0188,Bioplastic,1576,Low,No,Air,1.103,Paper Wrap,0.26,80,40,Pharma & Health,73.71,87.0,0,71.86
P0189,Metal,154,High,Yes,Land,0.277,Bio Bubble Wrap,0.67,5,70,Electronics,93.4,66.5,1,59.9
P0190,Metal,1800,Medium,Yes,Sea,3.24,Cornstarch Wrap,0.68,5,55,Industrial,22.78,66.0,1,35.58
P0191,Glass,446,High,Yes,Air,0.669,Bio Bubble Wrap,1.13,15,70,Home & Decor,84.06,43.5,1,53.84
P0192,Paper,737,Medium,Yes,Sea,0.663,Paper Wrap,0.37,95,40,Food & Beverage,84.2,81.5,1,77.39
P0193,Metal,1573,Low,Yes,Air,2.831,Recycled Cardboard,0.62,5,65,Industrial,32.53,69.0,1,41.26
P0194,Bioplastic,1070,Low,No,Land,0.749,Paper Wrap,0.2,80,40,Pharma & Health,82.15,90.0,0,75.14
P0195,Plastic,1303,Low,No,Land,2.736,Recycled Cardboard,0.47,10,65,E-Commerce,34.8,76.5,0,45.06
P0196,Glass,1157,Medium,Yes,Air,1.736,Bio Bubble Wrap,1.01,15,70,Home & Decor,58.63,49.5,1,47.71
P0197,Glass,952,Medium,Yes,Land,1.428,Bio Bubble Wrap,1.13,15,70,Home & Decor,65.97,43.5,1,48.42
P0198,Bioplastic,480,Low,Yes,Land,0.336,Paper Wrap,0.37,80,40,Pharma & Health,91.99,81.5,1,75.97
P0199,Plastic,278,Medium,Yes,Sea,0.584,Recycled Cardboard,0.69,10,65,Cosmetics,86.08,65.5,1,57.7
P0200,Paper,270,Low,Yes,Land,0.243,Paper Wrap,0.29,95,40,Food & Beverage,94.21,85.5,1,81.39
P0201,Paper,1814,High,No,Air,1.633,Paper Wrap,0.13,95,40,Food & Beverage,61.08,93.5,0,73.45
P0202,Bioplastic,1954,Low,Yes,Air,1.368,Paper Wrap,0.15,80,40,Pharma & Health,67.4,92.5,1,71.34
P0203,Metal,1185,Low,Yes,Air,2.133,Mushroom Foam,1.88,5,75,Industrial,49.17,6.0,1,32.5
P0204,Bioplastic,852,Low,Yes,Land,0.596,Paper Wrap,0.28,80,40,Pharma & Health,85.8,86.0,1,75.24
P0205,Paper,1732,Medium,No,Land,1.559,Paper Wrap,0.1,95,40,Food & Beverage,62.85,95.0,0,74.36
P0206,Metal,1231,Medium,No,Land,2.216,Cornstarch Wrap,0.69,5,55,Industrial,47.19,65.5,0,42.78
P0207,Ceramic,931,Low,Yes,Land,1.117,Bio Bubble Wrap,0.96,20,70,Home & Decor,73.38,52.0,1,54.01
P0208,Glass,1071,Medium,Yes,Air,1.607,Bio Bubble Wrap,0.5,15,70,Home & Decor,61.7,75.0,1,55.01
P0209,Ceramic,1825,Low,Yes,Air,2.19,Bio Bubble Wrap,0.61,20,70,Home & Decor,47.81,69.5,1,50.72
P0210,Ceramic,909,Medium,Yes,Air,1.091,Bio Bubble Wrap,0.88,20,70,Home & Decor,74.0,56.0,1,55.2
